"info","Value","Reference","Footprint","LCSC Part #","link","basic?","price","Qty"
"100nF Cap","100n","C5,C7,C9,C11,C12,C13,C14,C15,C16","Capacitor_SMD:C_0402_1005Metric","","","","","9"
"1uF Cap","1u","C8,C10","Capacitor_SMD:C_0402_1005Metric","","","","","2"
"Crystal","ABM8-272-T3","X1","crystal:ABM8-272-T3_ABR","C20625731","https://jlcpcb.com/partdetail/AbraconLlc-ABM8_272T3/C20625731","no","C$0.6692 ","1"
"Sensor","BNO055","U1","Package_LGA:LGA-28_5.2x3.8mm_P0.5mm","C93216","https://jlcpcb.com/partdetail/BoschSensortec-BNO055/C93216","no","C$14.0435 ","1"
"PCIe fingers","Bus_PCI_Express_x1","J1","Connector_PCBEdge:BUS_PCIexpress_x1","n/a","n/a","n/a","n/a","1"
"DC-DC Converter","LMR51430","U6","Package_TO_SOT_SMD:SOT-23-6","C5219261","https://jlcpcb.com/partdetail/TexasInstruments-LMR51430YFDDCR/C5219261","no","C$1.4952 ","1"
"CAN Transceiver","MCP2562-E-SN","U5","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C53609","https://jlcpcb.com/partdetail/MicrochipTech-MCP2562_ESN/C53609","no","C$12.56","1"
"MCU","RP2040","U2","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","C2040","https://jlcpcb.com/partdetail/RaspberryPi-RP2040/C2040","no","C$1.4190 ","1"
"MUX","TPS2116DRL","U3","Package_TO_SOT_SMD:SOT-583-8","C3235557","https://jlcpcb.com/partdetail/TexasInstruments-TPS2116DRLR/C3235557","no","C$0.8959 ","1"
"USB-C","TYPE-C-31-M-04","J2","TYPE-C-31-M-04:HRO_TYPE-C-31-M-04","C129018","https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M04/C129018","no","C$0.8196 ","1"
"Flash","W25Q128JVP","U4","Package_SON:WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm","C190862","https://jlcpcb.com/partdetail/WinbondElec-W25Q128JVPIQ/C190862","no","C$1.0737 ","1"
